,labels,data
0,Cloud Engineer,"£700 per day (Inside IR35 – Umbrella) Remote / South London recruiting exclusively large Insurer urgently require Informatica Developer strong ETL AWS (Redshift / S3 / Athena)   major Programme  ASAP. Key Requirements Proven Informatica Development  large commercial  environment Strong ETL  Demonstrable Commercial AWS  (Redshift / S3 / Athena etc) Nice Immediate availability Python Scripting  Previous Insurance industry  Data Engineering interested, relevant , please apply latest CV ASAP. #3860033"
1,Cloud Engineer,"Support Engineer Azure Big Data Azure Rapid Response Customers MANIA Working hours: Mon-Fri 10:00AM - 07:00PM last time got ground floor  technology - no, strike that,  field? We’re expanding  chartered creating delivering  support  customers  Data Artificial Intelligence. need people love helping customers solve tough problems; people develop processes systems ensure success customers ; thrive ambiguity (who knows types challenges problems we’ encounter). Sound fun? Challenging? Tough? appeals *and*  well , want hear you! Responsibilities Responsibilities Include: Represent Microsoft communicate corporate customers via telephone, written correspondence, electronic service provide in-depth technical support complex escalated problems identified Microsoft software products services manage relationships customers. Occasionally, problems technically complex, politically charged situations requiring highest level customer focus . Provide advanced troubleshooting analyse problems develop solutions meet customer needs. Receive escalated, technically complex mission critical politically hot customer issues, maintain ownership issue resolved completely. Maintain strong  knowledge products report software bugs customer product enhancements Product Group. May act technical focal point cooperative relationships companies. Determine best approach resolving complex technical issues yield desired turn-around time optimal customer solution minimizing impact customer. Engage collaborate Microsoft groups, including escalation teams R&D Team, 3rd party support partner (Open Source), gaining resolution critical, complex issues. Provide exceptional customer service politically charged environments. Create advanced online technical content including Knowledge Base articles, training documents, blogs, etc., needed help enhance CSS Front Funnel strategy drive one-to-many customer partner impact. Maintain strong  knowledge related products, technologies upcoming releases. Take proactive ownership identifying recommending product improvements key product areas based key data points. Participate planned -wide shift rotations cover  needs, including 24x7 “on-call” responsibilities weekend  ability  flexible schedule, cover weekends, and/or cover 10-7 shifts. Present technical content various audiences including customers, partners, internal stakeholders. Provide consulting services partners customers increase product market share. job may require cover weekend shift time time part  rota,  hours might 9:00-18:00 10:00-19:00 Qualifications "
2,Cloud Engineer,"Azure Data Engineer brand   arisen experienced Azure Data Engineer knowledge Azure technology including Data Lake  one recognisable charities UK.  someone lead way Data Engineering within charity  Azure tools, Python, Data lakes would great. must ability code using Python keen passion things cloud based. charity going huge data transformation currently need someone going take lead technical development needed project. process shifting focus traditional database development cloud based  process hugely beneficial. benefit really strong  life balance, including 35 hour  week, flexible  strong emphasis training development. Skills required Azure Data Engineer : - Strong technical  across aspects data engineering Big Data, Data Science various cloud technologies -  Azure technology including Azure Data Lake - Brilliant Python coding , star schemas, snowflake - strong eagerness learn develop career Data Engineer / BI Developer / Azure / Database Developer / Data Warehouse Developer : £50,000 - £53,000 London Note: Due ongoing Covid 19 situation  start remotely. initial 9 month FTC strong chance extension. Apply immediate consideration regarding excellent . Understanding Recruitment acting employment agency vacancy."
3,Cloud Engineer," Azure DevOps Engineer London (Work home) £90,000 plus bonus "
4,Cloud Engineer,"Description highly experienced complex task designing migrating clients traditional architectures application stacks cloud? helped Public Sector organisations reimagine infrastructure, applications, operating model innovation process leveraging power cloud? Amazon Web Services  highly skilled motivated Migration Advisory Consultant take lead  shaping delivering migration cloud transformation projects customers Local Government, Education Profit sectors. Customers sectors typically don’t appetite budget big bang migration approaches need customised digestible program  delivers real value throughout. want well-architected environments applications leverage best practice thousands AWS migrations, also need support thinking operations, , governance  readiness. care value money manage resource skill constraints. We’re  individual range conversations strategic right specific - talking strategic "
5,Cloud Engineer,"Data Engineer | St. Albans | £60,000 – £80,000 per year I’ve partnered leading UK construction  embarking journey enhance way live use data within brand- data function! Data Engineer fast paced innovative environment, responsible designing building scalable performant data solutions SQL Server Azure services. includes designing & building data models, Data lake / Data Warehouses data pipelines. doing? You’ take lead solution architecture development; Developing, implementing & managing centralised analytics data lake datawarehouse Putting mechanisms back end make sure data accessible readily available insight analytics Create infrastructure ETL data wide variety data sources & ‘big data’ tech Building standardised data model platform Azure connectivity  need? Expertise Azure stack (Azure Data Factory, Azure Data Lake, Azure SQL, Databricks, synapse analytics) Advanced  SQL Server.  exciting data engineering journey  company who: Use Data transform peoples lives way live - direct impact public Provide flexible  home (2-3  / week St Albans). already repaid furlough payments government Realise importance using data full potential direct impact entire  We’re niche Data, Tech & Analytics search consultants, apply on-line discuss make genuine impact people UK get involved exciting IoT projects. Apply on-line let's chat ."
6,Cloud Engineer,"AWS/GCP Data Engineer/Architect Remote Working - UK Wide £70k-£110k DOE Permanent trusted preferred recruitment partner prestigious global organisation, asked assist hire several Data Engineers Data Architects  AWS and/or GCP. client offers chance  UK's exciting projects, long-term career prospects, professional development, comprehensive personalised "
7,Cloud Engineer,"Azure Infrastructure Engineer - London, UK currently  London based company within Heathcare sector need experienced Azure Infrastructure Engineer.  initial 3 month contract. Essential  follows; Hands  Azure Infrastructure, Cloud Security, Networking. Solid  Azure IAAS, PAAS Infrastructure code. Azure Data Factory Azure Synapse. Strong  VMware. Contract: 3 months. cuss exciting Azure opportunities detail, please send CV m.nevin@nigelfrank.com call Matthew Nevin 0203 826 6712 complete confidence ASAP. client happy consider Azure professionals around London. Nigel Frank International leading Microsoft Cloud recruitment firm UK, advertising Azure jobs agency.  Azure Partners & End Users throughout UK Europe never live requirements Azure professionals. Solely specialising placing candidates Azure market, relationships built majority key employers UK, therefore unrivalled understanding best opportunities Azure jobs currently. appreciate need discretion would welcome  speak Azure candidates considering  career job. additional information Azure market opportunities available, contacted 0203 826 6712 email m.nevin@nigelfrank.com also offer £250 high street / online vouchers choice successful referrals contract #Azure #DevOps #Engineer #London #SouthLondon #NorthLondon #EastLondon #WestLondon #Essex #Cloud #Maintenance #Support #Microsoft #Consultant #SolutionArchitect #Freelance #Contact #Contractor #Survey #NigelFrank #NFI"
8,Cloud Engineer,"DevOps Engineer | Outside IR35 | Development background I've partnered FinTech  who're   DevOps Engineer come board. initial 6-month contract outside IR35.   DevOps Engineer come Engineering background. preference someone come C# background also open Python, Java OOP language. Key  DevOps Engineer: AWS (EC2, Lambda, CloudWatch, S3) Terraform Development background  alongside  Full Stack Engineers, QA's Architects. DevOps Engineer | Outside IR35 | Development background Oscar Technology acting Employment Business relation vacancy. understand data please review privacy policy privacy section Oscar website."
9,Cloud Engineer,"s available remote basis across UK. position located within Migrations Team FNZ. Migration Team accountability managing end-to-end delivery lifecycle Migration projects within FNZ. Migration Analyst Developer  requires individual design implement complex Client focussed data mapping line FNZ Migration SDLC.  involves  big data, designing, developing, maintaining supporting Extract, Transform Load (ETL) process. Reporting Migration Team Lead,  integral part , analysing requirements designing & implementing solutions.  technical focused providing long term solutions. data model data population routines critical part migration process accuracy attention detail important characteristics. Specific  Responsibilities Working Internal Client SME resource provide complex data mapping solutions line Client requirements, FNZ Solution FNZ Migration SDLC Producing technical migration outputs, data models, data mapping definitions data validation rules line target FNZ Product Client Migration requirements Designing, Creating maintaining SSIS packages migrate data FNZ databases Designing developing ETL  conforming best practices creating re-usable components Providing solutions recommendations resolution technical issues arise, ensuring solutions meet technical specs, design non-functional requirements Supporting changes testing; resolving data issues, complete unit testing system documentation ETL processes Providing post implementation support migration complete support project service & support teams issue identification resolution.  required Confident, able take initiative given client delivery-focused environment Good  communication , confident dealing internal external clients Highly developed written oral communication  Strong relational database design   MS SQL Server Proficient data mapping profiling techniques  using ETL tools, e.g. SSIS, Informatica   Business Intelligence projects Superior analytical thinking Able prioritise   aggressive deadlines minimal supervision FNZ, recognise diversity, inclusion accessibility important factors success. embrace unique perspective capabilities current future employees, help us continue drive innovation achieve  goals. Recruitment decisions FNZ made non-discriminatory manner employees valued respected. particular, want ensure accessibility needs well supported thus, ensuring recruitment process fair equitable applicants. Please let us know support provide ensure FNZ’s recruitment process fully accessible you. contact us recruitment@fnz.co.uk discuss specific requirements."
